"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"modelenv","modelenv","/usr/local/lib/R/site-library","0.2.0",NA,NA,"cli, glue, rlang (>= 1.1.0), tibble, vctrs",NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ModelMetrics","ModelMetrics","/usr/local/lib/R/site-library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"modelr","modelr","/usr/local/lib/R/site-library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"modeltools","modeltools","/usr/local/lib/R/site-library","0.2-24",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"monocle","monocle","/usr/local/lib/R/site-library","2.38.0",NA,"R (>= 2.10.0), methods, Matrix (>= 1.2-6), Biobase, ggplot2
(>= 1.0.0), VGAM (>= 1.0-6), DDRTree (>= 0.1.4),","parallel, igraph (>= 1.0.1), BiocGenerics, HSMMSingleCell (>=
0.101.5), plyr, cluster, combinat, fastICA, grid, irlba (>=
2.0.0), matrixStats, Rtsne, MASS, reshape2, leidenbase (>=
0.1.9), limma, tibble, dplyr, pheatmap, stringr, proxy, slam,
viridis, stats, biocViews, RANN(>= 2.5), Rcpp (>= 0.12.0)","Rcpp","destiny, Hmisc, knitr, Seurat, scater, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"monocle3","monocle3","/usr/local/lib/R/site-library","1.4.26",NA,"R (>= 4.0.0), Biobase, SingleCellExperiment","assertthat (>= 0.2.1), batchelor, BiocGenerics (>= 0.28.0),
BiocParallel, BPCells, DelayedArray (>= 0.8.0),
DelayedMatrixStats (>= 1.4.0), digest (>= 0.6.28), dplyr (>=
0.8.0.1), future (>= 1.23.0), ggdist (>= 3.3.0), ggforce (>=
0.4.1), ggplot2 (>= 3.1.1), ggrastr, ggrepel (>= 0.8.1), grr,
HDF5Array, igraph (>= 1.5.0), irlba (>= 2.3.3), leidenbase (>=
0.1.25), limma (>= 3.38.3), lme4 (>= 1.1-27), lmtest (>=
0.9-36), MASS (>= 7.3-51.4), Matrix (>= 1.2-17), methods,
openssl, pbapply (>= 1.4-0), pbmcapply (>= 1.4.1), pheatmap,
plotly (>= 4.9.0), plyr (>= 1.8.4), proxy (>= 0.4-23), pscl (>=
1.5.2), purrr (>= 0.3.2), RANN (>= 2.6.1), RColorBrewer, Rcpp
(>= 1.0.1), reshape2 (>= 1.4.3), rsample (>= 0.0.5),
RhpcBLASctl, RcppAnnoy, RcppHNSW (>= 0.3.0), Rtsne (>= 0.15),
S4Vectors, sf, shiny, slam (>= 0.1-45), spdep (>= 1.1-2),
speedglm (>= 0.3-2), stats, stringr (>= 1.4.0),
SummarizedExperiment (>= 1.11.5), utils, uwot (>= 0.1.8),
tibble (>= 2.1.1), tidyr (>= 0.8.3), viridis (>= 0.5.1)","Rcpp","knitr, pryr (>= 0.1.4), rmarkdown, scran, spelling, testthat
(>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"mvtnorm","mvtnorm","/usr/local/lib/R/site-library","1.3-3",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"nabor","nabor","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 3.0.2)","Rcpp (>= 0.11.2), methods","Rcpp, RcppEigen (>= 0.3.2.2.0), BH (>= 1.54.0-4)","testthat, RANN",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"nanonext","nanonext","/usr/local/lib/R/site-library","1.7.1",NA,"R (>= 3.6)",NA,NA,"later, litedown","promises","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"network","network","/usr/local/lib/R/site-library","1.19.0",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"nloptr","nloptr","/usr/local/lib/R/site-library","2.2.1",NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.5.0"
"NMF","NMF","/usr/local/lib/R/site-library","0.28",NA,"R (>= 3.0.0), methods, utils, registry, rngtools (>= 1.2.3),
cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, Biobase, codetools, BiocManager",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"numDeriv","numDeriv","/usr/local/lib/R/site-library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"openssl","openssl","/usr/local/lib/R/site-library","2.3.4",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"org.Hs.eg.db","org.Hs.eg.db","/usr/local/lib/R/site-library","3.22.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.71.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"otel","otel","/usr/local/lib/R/site-library","0.2.0",NA,"R (>= 3.6.0)",NA,NA,"callr, cli, glue, jsonlite, otelsdk, processx, shiny,
spelling, testthat (>= 3.0.0), utils, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"palmerpenguins","palmerpenguins","/usr/local/lib/R/site-library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.5.0"
"paradox","paradox","/usr/local/lib/R/site-library","1.0.1",NA,NA,"backports, checkmate, data.table, methods, mlr3misc (>=
0.9.4), R6",NA,"rmarkdown, mlr3learners, e1071, knitr, lhs, spacefillr,
testthat",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"parallelly","parallelly","/usr/local/lib/R/site-library","1.45.1",NA,NA,"parallel, tools, utils",NA,"commonmark, base64enc",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.5.0"
"parsnip","parsnip","/usr/local/lib/R/site-library","1.3.3",NA,"R (>= 4.1)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), ggplot2, globals,
glue, hardhat (>= 1.4.1), lifecycle, magrittr, pillar,
prettyunits, purrr (>= 1.0.0), rlang (>= 1.1.0), sparsevctrs
(>= 0.2.0), stats, tibble (>= 2.1.1), tidyr (>= 1.3.0), utils,
vctrs (>= 0.6.0), withr",NA,"bench, C50, covr, dials (>= 1.1.0), earth, ggrepel, keras,
kernlab, kknn, knitr, LiblineaR, MASS, Matrix, methods, mgcv,
modeldata, nlme, prodlim, ranger (>= 0.12.0), remotes,
rmarkdown, rpart, sparklyr (>= 1.0.0), survival, tensorflow,
testthat (>= 3.0.0), xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"patchwork","patchwork","/usr/local/lib/R/site-library","1.3.2",NA,NA,"ggplot2 (>= 3.0.0), gtable (>= 0.3.6), grid, stats, grDevices,
utils, graphics, rlang (>= 1.0.0), cli, farver",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png, gt (>= 0.11.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"pbapply","pbapply","/usr/local/lib/R/site-library","1.7-4",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"pbkrtest","pbkrtest","/usr/local/lib/R/site-library","0.5.5",NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy
(>= 4.6.22)",NA,"nlme, markdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"pbmcapply","pbmcapply","/usr/local/lib/R/site-library","1.5.1",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"pheatmap","pheatmap","/usr/local/lib/R/site-library","1.0.13",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"pillar","pillar","/usr/local/lib/R/site-library","1.11.1",NA,NA,"cli (>= 2.3.0), glue, lifecycle, rlang (>= 1.0.2), utf8 (>=
1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"pkgbuild","pkgbuild","/usr/local/lib/R/site-library","1.4.8",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, Rcpp, rmarkdown, testthat (>= 3.2.0),
withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"pkgconfig","pkgconfig","/usr/local/lib/R/site-library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"pkgdown","pkgdown","/usr/local/lib/R/site-library","2.1.3",NA,"R (>= 4.0.0)","bslib (>= 0.5.1), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.0), downlit (>= 0.4.4), fontawesome, fs (>= 1.4.0), httr2
(>= 1.0.2), jsonlite, openssl, purrr (>= 1.0.0), ragg (>=
1.4.0), rlang (>= 1.1.4), rmarkdown (>= 2.27), tibble, whisker,
withr (>= 2.4.3), xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate (>= 0.24.0), gert, gt, htmltools,
htmlwidgets, knitr (>= 1.50), lifecycle, magick, methods,
pkgload (>= 1.0.2), quarto, rsconnect, rstudioapi, rticles,
sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"pkgload","pkgload","/usr/local/lib/R/site-library","1.4.1",NA,"R (>= 3.4.0)","cli (>= 3.3.0), desc, fs, glue, lifecycle, methods, pkgbuild,
processx, rlang (>= 1.1.1), rprojroot, utils",NA,"bitops, jsonlite, mathjaxr, pak, Rcpp, remotes, rstudioapi,
testthat (>= 3.2.1.1), usethis, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"plogr","plogr","/usr/local/lib/R/site-library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"plotly","plotly","/usr/local/lib/R/site-library","4.11.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 1.0.0),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest2, curl, rmarkdown, Cairo,
broom, webshot, listviewer, dendextend, sf, png, IRdisplay,
processx, plotlyGeoAssets, forcats, withr, palmerpenguins,
rversions, reticulate, rsvg, ggridges",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"plotrix","plotrix","/usr/local/lib/R/site-library","3.8-4",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"plyr","plyr","/usr/local/lib/R/site-library","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"png","png","/usr/local/lib/R/site-library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"polyclip","polyclip","/usr/local/lib/R/site-library","1.10-7",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.5.0"
"polynom","polynom","/usr/local/lib/R/site-library","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"prabclus","prabclus","/usr/local/lib/R/site-library","2.3-4",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"praise","praise","/usr/local/lib/R/site-library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"prettyunits","prettyunits","/usr/local/lib/R/site-library","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"pROC","pROC","/usr/local/lib/R/site-library","1.19.0.1",NA,"R (>= 2.14)","methods, Rcpp (>= 0.11.1)","Rcpp","tcltk, MASS, logcondens, testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.5.0"
"processx","processx","/usr/local/lib/R/site-library","3.8.6",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"prodlim","prodlim","/usr/local/lib/R/site-library","2025.04.28",NA,"R (>= 4.1.0)","Rcpp (>= 0.11.5), stats, rlang, data.table, grDevices,
ggplot2, graphics, diagram, survival, KernSmooth, lava","Rcpp","tibble, pammtools, ggthemes",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"profvis","profvis","/usr/local/lib/R/site-library","0.4.0",NA,"R (>= 4.0)","htmlwidgets (>= 0.3.2), rlang (>= 1.1.0), vctrs",NA,"htmltools, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"progress","progress","/usr/local/lib/R/site-library","1.2.3",NA,"R (>= 3.6)","crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"progressr","progressr","/usr/local/lib/R/site-library","0.17.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
ntfy, RPushbullet, rstudioapi, shiny, commonmark, base64enc,
tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.5.0"
"promises","promises","/usr/local/lib/R/site-library","1.4.0",NA,"R (>= 4.1.0)","fastmap (>= 1.1.0), later, lifecycle, magrittr (>= 1.5), otel
(>= 0.2.0), R6, rlang",NA,"future (>= 1.21.0), knitr, mirai, otelsdk (>= 0.2.0), purrr,
Rcpp, rmarkdown, spelling, testthat (>= 3.0.0), vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ProtGenerics","ProtGenerics","/usr/local/lib/R/site-library","1.42.0",NA,"methods",NA,NA,"testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"proxy","proxy","/usr/local/lib/R/site-library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"PRROC","PRROC","/usr/local/lib/R/site-library","1.4",NA,"rlang",NA,NA,"testthat, ggplot2, ROCR",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"ps","ps","/usr/local/lib/R/site-library","1.9.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"pscl","pscl","/usr/local/lib/R/site-library","1.5.9",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"purrr","purrr","/usr/local/lib/R/site-library","1.1.0",NA,"R (>= 4.1)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","carrier (>= 0.2.0), covr, dplyr (>= 0.7.8), httr, knitr,
lubridate, mirai (>= 2.4.0), rmarkdown, testthat (>= 3.0.0),
tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"pwalign","pwalign","/usr/local/lib/R/site-library","1.6.0",NA,"BiocGenerics, S4Vectors, IRanges, Biostrings (>= 2.71.5)","methods, utils","S4Vectors, IRanges, XVector, Biostrings","RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"quadprog","quadprog","/usr/local/lib/R/site-library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"quantreg","quantreg","/usr/local/lib/R/site-library","6.1",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"qvalue","qvalue","/usr/local/lib/R/site-library","2.42.0",NA,"R(>= 2.10)","splines, ggplot2, grid, reshape2",NA,"knitr",NA,"LGPL",NA,NA,NA,NA,"no","4.5.1"
"R.methodsS3","R.methodsS3","/usr/local/lib/R/site-library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"R.oo","R.oo","/usr/local/lib/R/site-library","1.27.1",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.2)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"R.utils","R.utils","/usr/local/lib/R/site-library","2.13.0",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"R6","R6","/usr/local/lib/R/site-library","2.6.1",NA,"R (>= 3.6)",NA,NA,"lobstr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ragg","ragg","/usr/local/lib/R/site-library","1.5.0",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"RANN","RANN","/usr/local/lib/R/site-library","2.6.2",NA,NA,NA,NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.5.0"
"rappdirs","rappdirs","/usr/local/lib/R/site-library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"RBGL","RBGL","/usr/local/lib/R/site-library","1.86.0",NA,"graph, methods","methods","BH","Rgraphviz, XML, RUnit, BiocGenerics, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"rbibutils","rbibutils","/usr/local/lib/R/site-library","2.3",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"rcmdcheck","rcmdcheck","/usr/local/lib/R/site-library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"RColorBrewer","RColorBrewer","/usr/local/lib/R/site-library","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.5.0"
"Rcpp","Rcpp","/usr/local/lib/R/site-library","1.1.0",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RcppAnnoy","RcppAnnoy","/usr/local/lib/R/site-library","0.0.22",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RcppArmadillo","RcppArmadillo","/usr/local/lib/R/site-library","15.0.2-2",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.12), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RcppEigen","RcppEigen","/usr/local/lib/R/site-library","0.3.4.0.2",NA,"R (>= 3.6.0)","Rcpp (>= 0.11.0), stats, utils","Rcpp","Matrix, inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"RcppHNSW","RcppHNSW","/usr/local/lib/R/site-library","0.6.0",NA,NA,"methods, Rcpp (>= 0.11.3)","Rcpp","covr, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.5.0"
"RcppML","RcppML","/usr/local/lib/R/site-library","0.3.7",NA,NA,"Rcpp, Matrix, methods, stats","Rcpp, RcppEigen","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RcppNumerical","RcppNumerical","/usr/local/lib/R/site-library","0.6-0",NA,NA,"Rcpp","Rcpp, RcppEigen","knitr, rmarkdown, prettydoc, mvtnorm, RcppEigen",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RcppProgress","RcppProgress","/usr/local/lib/R/site-library","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.5.0"
"RcppRoll","RcppRoll","/usr/local/lib/R/site-library","0.3.1",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RcppTOML","RcppTOML","/usr/local/lib/R/site-library","0.2.3",NA,"R (>= 3.3.0)","Rcpp (>= 1.0.8)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"RCurl","RCurl","/usr/local/lib/R/site-library","1.98-1.17",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"Rdpack","Rdpack","/usr/local/lib/R/site-library","2.6.4",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"readr","readr","/usr/local/lib/R/site-library","2.1.5",NA,"R (>= 3.6)","cli (>= 3.2.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.6.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.2.0), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"recipes","recipes","/usr/local/lib/R/site-library","1.3.1",NA,"dplyr (>= 1.1.0), R (>= 4.1)","cli, clock (>= 0.6.1), generics (>= 0.1.2), glue, gower,
hardhat (>= 1.4.1), ipred (>= 0.9-12), lifecycle (>= 1.0.3),
lubridate (>= 1.8.0), magrittr, Matrix, purrr (>= 1.0.0), rlang
(>= 1.1.0), sparsevctrs (>= 0.3.3), stats, tibble, tidyr (>=
1.0.0), tidyselect (>= 1.2.0), timeDate, utils, vctrs (>=
0.5.0), withr",NA,"covr, ddalpha, dials (>= 1.2.0), ggplot2, igraph, kernlab,
knitr, methods, modeldata (>= 0.1.1), parsnip (>= 1.2.0), RANN,
RcppRoll, rmarkdown, rpart, rsample, RSpectra, splines2,
testthat (>= 3.0.0), workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"reformulas","reformulas","/usr/local/lib/R/site-library","0.4.2",NA,NA,"stats, methods, Matrix, Rdpack",NA,"lme4, tinytest, glmmTMB",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"registry","registry","/usr/local/lib/R/site-library","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.5.0"
"remotes","remotes","/usr/local/lib/R/site-library","2.5.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, covr, curl, git2r (>= 0.23.0), knitr,
mockery, pingr, pkgbuild (>= 1.0.1), rmarkdown, rprojroot,
testthat (>= 3.0.0), webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"reshape2","reshape2","/usr/local/lib/R/site-library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"ResidualMatrix","ResidualMatrix","/usr/local/lib/R/site-library","1.20.0",NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"restfulr","restfulr","/usr/local/lib/R/site-library","0.0.16",NA,"R (>= 3.4.0), methods","XML, RCurl, rjson, S4Vectors (>= 0.13.15), yaml",NA,"getPass, rsolr, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
